store,long,lat,lsoa_21
A001,-1.2448799160337,52.7764891754570,E01025696
A002,-1.4389734337153,52.9477729062905,E01013574
A003,-1.4973824762321,52.8951544590915,E01013488
A004,-1.5457708577449,52.9050869071086,E01013562
A005,-1.7284007612362,53.0101357768212,E01019596
A006,-1.0746745620795,52.6306687184126,E01013667
A007,-1.1271709758129,52.6480477456794,E01034009
A008,-1.1872153516071,52.6269665895080,E01013640
A009,-1.4955073262464,53.2981891613339,E01019794
A010,-0.6045187911970,52.2926673890999,E01027065
A011,-0.7454648846601,52.2632513926845,E01027324
A012,-1.4634843670495,52.7408384282249,E01025914
A013,-1.1340354916162,52.9651435805549,E01013959
A014,-1.1993644913470,52.9554735486594,E01013979
A015,-1.2340126946997,52.9640789747855,E01013858
A016,-0.7238557852064,52.6779514394899,E01013798
A017,-1.5653061888409,52.7633980657063,E01019838
A018,-0.8295890641164,52.2639917928042,E01027196
A019,-0.9032438545520,52.3263548240803,E01027003
A020,-1.2578488680415,52.0961843957469,E01027305
B001,-1.7797301793993,52.4622128189951,E01009314
B002,-1.7999692614318,52.5516957277790,E01009435
B003,-1.8256783547049,52.4770075757746,E01009341
B004,-1.8554526916527,52.5361253961277,E01009404
B005,-1.8733331844728,52.5326300301034,E01009123
B006,-1.8898058219960,52.4693957860681,E01034947
B007,-1.9848539226901,52.4571772485215,E01009256
B008,-1.4555411535530,52.4058192175804,E01009708
B009,-1.5123143922062,52.3824677098425,E01009563
B010,-1.5961276605470,52.3973636665147,E01032532
B011,-1.6390954992093,52.8244847441103,E01029437
B012,-1.8887491749545,52.9054419936275,E01029430
B013,-2.1117675576190,52.6479386414266,E01029637
B014,-2.0860305026735,52.7869843062270,E01029759
B015,-1.9893903708468,52.9836462434358,E01029787
B016,-2.1188232692820,52.9928422016150,E01014301
B017,-2.1952777670489,53.0565507442709,E01014244
B018,-2.1199463862942,52.6076668389569,E01010485
B019,-2.1757424660656,52.5707038111766,E01010489
B020,-2.2156216198893,52.1889359496929,E01033249
